$OR;D2 
* From-Time  To-Time 
9.00 10.00
* Factor 
1.00
taz_0 taz_0 17.0
taz_0 taz_1 7.0
taz_0 taz_10 6.0
taz_0 taz_11 5.0
taz_0 taz_12 1.0
taz_0 taz_13 11.0
taz_0 taz_14 2.0
taz_0 taz_15 16.0
taz_0 taz_16 15.0
taz_0 taz_17 4.0
taz_0 taz_18 2.0
taz_0 taz_19 12.0
taz_0 taz_2 7.0
taz_0 taz_20 6.0
taz_0 taz_21 1.0
taz_0 taz_22 7.0
taz_0 taz_3 5.0
taz_0 taz_4 4.0
taz_0 taz_5 8.0
taz_0 taz_6 2.0
taz_0 taz_7 20.0
taz_0 taz_8 8.0
taz_0 taz_23 18.0
taz_1 taz_0 10.0
taz_1 taz_1 19.0
taz_1 taz_10 8.0
taz_1 taz_11 7.0
taz_1 taz_12 9.0
taz_1 taz_13 10.0
taz_1 taz_14 10.0
taz_1 taz_15 6.0
taz_1 taz_16 7.0
taz_1 taz_17 1.0
taz_1 taz_18 3.0
taz_1 taz_19 5.0
taz_1 taz_2 3.0
taz_1 taz_20 9.0
taz_1 taz_21 14.0
taz_1 taz_22 2.0
taz_1 taz_3 6.0
taz_1 taz_4 9.0
taz_1 taz_5 1.0
taz_1 taz_6 1.0
taz_1 taz_7 3.0
taz_1 taz_8 15.0
taz_1 taz_23 5.0
taz_10 taz_0 13.0
taz_10 taz_1 5.0
taz_10 taz_10 2.0
taz_10 taz_11 4.0
taz_10 taz_12 6.0
taz_10 taz_13 2.0
taz_10 taz_14 20.0
taz_10 taz_15 14.0
taz_10 taz_16 7.0
taz_10 taz_17 12.0
taz_10 taz_18 17.0
taz_10 taz_19 8.0
taz_10 taz_2 10.0
taz_10 taz_20 1.0
taz_10 taz_21 2.0
taz_10 taz_22 14.0
taz_10 taz_3 2.0
taz_10 taz_4 8.0
taz_10 taz_5 17.0
taz_10 taz_6 4.0
taz_10 taz_7 7.0
taz_10 taz_8 19.0
taz_10 taz_23 2.0
taz_11 taz_0 3.0
taz_11 taz_1 5.0
taz_11 taz_10 8.0
taz_11 taz_11 8.0
taz_11 taz_12 1.0
taz_11 taz_13 2.0
taz_11 taz_14 14.0
taz_11 taz_15 13.0
taz_11 taz_16 1.0
taz_11 taz_17 2.0
taz_11 taz_18 0.0
taz_11 taz_19 2.0
taz_11 taz_2 2.0
taz_11 taz_20 12.0
taz_11 taz_21 11.0
taz_11 taz_22 8.0
taz_11 taz_3 10.0
taz_11 taz_4 2.0
taz_11 taz_5 26.0
taz_11 taz_6 2.0
taz_11 taz_7 6.0
taz_11 taz_8 9.0
taz_11 taz_23 12.0
taz_12 taz_0 25.0
taz_12 taz_1 5.0
taz_12 taz_10 3.0
taz_12 taz_11 4.0
taz_12 taz_12 5.0
taz_12 taz_13 3.0
taz_12 taz_14 2.0
taz_12 taz_15 5.0
taz_12 taz_16 17.0
taz_12 taz_17 1.0
taz_12 taz_18 2.0
taz_12 taz_19 3.0
taz_12 taz_2 14.0
taz_12 taz_20 17.0
taz_12 taz_21 17.0
taz_12 taz_22 20.0
taz_12 taz_3 43.0
taz_12 taz_4 8.0
taz_12 taz_5 5.0
taz_12 taz_6 1.0
taz_12 taz_7 1.0
taz_12 taz_8 19.0
taz_12 taz_23 9.0
taz_13 taz_0 5.0
taz_13 taz_1 2.0
taz_13 taz_10 11.0
taz_13 taz_11 13.0
taz_13 taz_12 1.0
taz_13 taz_13 1.0
taz_13 taz_14 13.0
taz_13 taz_15 3.0
taz_13 taz_16 11.0
taz_13 taz_17 7.0
taz_13 taz_18 8.0
taz_13 taz_19 3.0
taz_13 taz_2 2.0
taz_13 taz_20 11.0
taz_13 taz_21 9.0
taz_13 taz_22 2.0
taz_13 taz_3 10.0
taz_13 taz_4 15.0
taz_13 taz_5 6.0
taz_13 taz_6 7.0
taz_13 taz_7 23.0
taz_13 taz_8 24.0
taz_13 taz_23 10.0
taz_14 taz_0 10.0
taz_14 taz_1 9.0
taz_14 taz_10 2.0
taz_14 taz_11 12.0
taz_14 taz_12 19.0
taz_14 taz_13 7.0
taz_14 taz_14 1.0
taz_14 taz_15 3.0
taz_14 taz_16 11.0
taz_14 taz_17 14.0
taz_14 taz_18 3.0
taz_14 taz_19 5.0
taz_14 taz_2 30.0
taz_14 taz_20 3.0
taz_14 taz_21 3.0
taz_14 taz_22 6.0
taz_14 taz_3 5.0
taz_14 taz_4 19.0
taz_14 taz_5 14.0
taz_14 taz_6 9.0
taz_14 taz_7 2.0
taz_14 taz_8 5.0
taz_14 taz_23 5.0
taz_15 taz_0 8.0
taz_15 taz_1 12.0
taz_15 taz_10 10.0
taz_15 taz_11 7.0
taz_15 taz_12 18.0
taz_15 taz_13 19.0
taz_15 taz_14 6.0
taz_15 taz_15 5.0
taz_15 taz_16 25.0
taz_15 taz_17 3.0
taz_15 taz_18 2.0
taz_15 taz_19 4.0
taz_15 taz_2 6.0
taz_15 taz_20 9.0
taz_15 taz_21 8.0
taz_15 taz_22 9.0
taz_15 taz_3 6.0
taz_15 taz_4 1.0
taz_15 taz_5 16.0
taz_15 taz_6 3.0
taz_15 taz_7 18.0
taz_15 taz_8 9.0
taz_15 taz_23 13.0
taz_16 taz_0 9.0
taz_16 taz_1 2.0
taz_16 taz_10 3.0
taz_16 taz_11 6.0
taz_16 taz_12 12.0
taz_16 taz_13 4.0
taz_16 taz_14 1.0
taz_16 taz_15 1.0
taz_16 taz_16 1.0
taz_16 taz_17 1.0
taz_16 taz_18 7.0
taz_16 taz_19 5.0
taz_16 taz_2 9.0
taz_16 taz_20 23.0
taz_16 taz_21 2.0
taz_16 taz_22 6.0
taz_16 taz_3 4.0
taz_16 taz_4 6.0
taz_16 taz_5 3.0
taz_16 taz_6 11.0
taz_16 taz_7 24.0
